"gameID","gameDate","teamID","goals","winner"
"20231010CHI@PIT",2023-10-10,CHI,4,CHI
"20231010CHI@PIT",2023-10-10,PIT,2,CHI
"20231010NSH@TB",2023-10-10,NSH,3,TB
"20231010NSH@TB",2023-10-10,TB,5,TB
"20231010SEA@VGK",2023-10-10,LV,4,LV
"20231010SEA@VGK",2023-10-10,SEA,1,LV
"20231011CHI@BOS",2023-10-11,BOS,3,BOS
"20231011CHI@BOS",2023-10-11,CHI,1,BOS
"20231011COL@LA",2023-10-11,COL,5,COL
"20231011COL@LA",2023-10-11,LA,2,COL
"20231011EDM@VAN",2023-10-11,EDM,1,VAN
"20231011EDM@VAN",2023-10-11,VAN,8,VAN
"20231011MON@TOR",2023-10-11,MON,5,TOR
"20231011MON@TOR",2023-10-11,TOR,6,TOR
"20231011OTT@CAR",2023-10-11,CAR,5,CAR
"20231011OTT@CAR",2023-10-11,OTT,3,CAR
"20231011WPG@CGY",2023-10-11,CGY,5,CGY
"20231011WPG@CGY",2023-10-11,WPG,3,CGY
"20231012DET@NJ",2023-10-12,DET,3,NJ
"20231012DET@NJ",2023-10-12,NJ,4,NJ
"20231012FLA@MIN",2023-10-12,MIN,2,MIN
"20231012NYR@BUF",2023-10-12,BUF,1,NYR
"20231012NYR@BUF",2023-10-12,NYR,5,NYR
"20231012PHI@CLB",2023-10-12,CLB,2,PHI
"20231012PHI@CLB",2023-10-12,PHI,4,PHI
"20231012SEA@NSH",2023-10-12,NSH,3,NSH
"20231012STL@DAL",2023-10-12,DAL,3,DAL
"20231012STL@DAL",2023-10-12,STL,2,DAL
"20231013ARI@NJ",2023-10-13,ARI,5,ARI
"20231013ARI@NJ",2023-10-13,NJ,3,ARI
"20231013PIT@WAS",2023-10-13,PIT,4,PIT
"20231014BUF@NYI",2023-10-14,BUF,2,NYI
"20231014BUF@NYI",2023-10-14,NYI,3,NYI
"20231014CAR@LA",2023-10-14,CAR,8,CAR
"20231014CAR@LA",2023-10-14,LA,7,CAR
"20231014CGY@PIT",2023-10-14,CGY,2,PIT
"20231014CGY@PIT",2023-10-14,PIT,5,PIT
"20231014CHI@MON",2023-10-14,CHI,2,MON
"20231014CHI@MON",2023-10-14,MON,3,MON
"20231014COL@SJ",2023-10-14,COL,2,COL
"20231014COL@SJ",2023-10-14,SJ,1,COL
"20231014FLA@WPG",2023-10-14,FLA,4,WPG
"20231014FLA@WPG",2023-10-14,WPG,6,WPG
"20231014MIN@TOR",2023-10-14,MIN,4,TOR
"20231014MIN@TOR",2023-10-14,TOR,7,TOR
"20231014NSH@BOS",2023-10-14,BOS,3,BOS
"20231014NSH@BOS",2023-10-14,NSH,2,BOS
"20231014NYR@CLB",2023-10-14,CLB,5,CLB
"20231014NYR@CLB",2023-10-14,NYR,3,CLB
"20231014PHI@OTT",2023-10-14,OTT,5,OTT
"20231014PHI@OTT",2023-10-14,PHI,2,OTT
"20231014SEA@STL",2023-10-14,SEA,1,STL
"20231014SEA@STL",2023-10-14,STL,2,STL
"20231014TB@DET",2023-10-14,DET,6,DET
"20231014TB@DET",2023-10-14,TB,4,DET
"20231014VAN@EDM",2023-10-14,EDM,3,VAN
"20231014VAN@EDM",2023-10-14,VAN,4,VAN
"20231015CAR@ANA",2023-10-15,ANA,6,ANA
"20231015CAR@ANA",2023-10-15,CAR,3,ANA
"20231015TB@OTT",2023-10-15,OTT,5,OTT
"20231015TB@OTT",2023-10-15,TB,2,OTT
"20231016ARI@NYR",2023-10-16,ARI,1,NYR
"20231016ARI@NYR",2023-10-16,NYR,2,NYR
"20231016CGY@WAS",2023-10-16,CGY,2,WAS
"20231016CGY@WAS",2023-10-16,WAS,3,WAS
"20231016CHI@TOR",2023-10-16,CHI,4,CHI
"20231016CHI@TOR",2023-10-16,TOR,1,CHI
"20231016DET@CLB",2023-10-16,DET,4,DET
"20231016FLA@NJ",2023-10-16,FLA,4,FLA
"20231016FLA@NJ",2023-10-16,NJ,3,FLA
"20231017ARI@NYI",2023-10-17,NYI,1,NYI
"20231017CAR@SJ",2023-10-17,CAR,6,CAR
"20231017CAR@SJ",2023-10-17,SJ,3,CAR
"20231017COL@SEA",2023-10-17,COL,4,COL
