goalid,teamid,period,goaltime,scorer,assist1,assist2,gameid,goaldate,seconds
2023101002:25TB4,TB,3RD,1900-01-01 02:25:00,Nick Paul,Brayden Point,Steven Stamkos,20231010NSH@TB,2023-10-10,2545
2023101003:07TB5,TB,3RD,1900-01-01 03:07:00,Brandon Hagel,None,None,20231010NSH@TB,2023-10-10,2587
2023101007:04PIT1,PIT,1ST,1900-01-01 07:04:00,Bryan Rust,Kris Letang,Lars Eller,20231010CHI@PIT,2023-10-10,424
2023101008:48NSH6,NSH,3RD,1900-01-01 08:48:00,Tommy Novak,Philip Tomasino,Gustav Nyquist,20231010NSH@TB,2023-10-10,2928
2023101009:48TB1,TB,1ST,1900-01-01 09:48:00,Nikita Kucherov,Victor Hedman,Brayden Point,20231010NSH@TB,2023-10-10,588
2023101010:05CHI4,CHI,3RD,1900-01-01 10:05:00,Cole Guttman,Seth Jones,Andreas Athanasiou,20231010CHI@PIT,2023-10-10,3005
2023101010:52TB7,TB,3RD,1900-01-01 10:52:00,Nick Paul,Mikhail Sergachev,Brayden Point,20231010NSH@TB,2023-10-10,3052
2023101011.0NSH3,NSH,3RD,1900-01-01 00:11:00,Juuso Parssinen,Filip Forsberg,Ryan O'Reilly,20231010NSH@TB,2023-10-10,2411
2023101011:56PIT2,PIT,2ND,1900-01-01 11:56:00,Sidney Crosby,Jake Guentzel,Marcus Pettersson,20231010CHI@PIT,2023-10-10,1916
2023101015:29CHI5,CHI,3RD,1900-01-01 15:29:00,Jason Dickinson,Corey Perry,Nick Foligno,20231010CHI@PIT,2023-10-10,3329
2023101015:37CHI3,CHI,2ND,1900-01-01 15:37:00,Ryan Donato,Alex Vlasic,Connor Bedard,20231010CHI@PIT,2023-10-10,2137
2023101016:15NSH2,NSH,2ND,1900-01-01 16:15:00,Ryan O'Reilly,Filip Forsberg,Ryan McDonagh,20231010NSH@TB,2023-10-10,2175
