gameID,visitors,home,gameDate,winner,SO
20231010NSH@TB,NSH,TB,2023-10-10,TB,X
20231010CHI@PIT,CHI,PIT,2023-10-10,CHI,X
20231010SEA@LV,SEA,LV,2023-10-10,LV,X
20231011OTT@CAR,OTT,CAR,2023-10-11,CAR,X
20231011MON@TOR,MON,TOR,2023-10-11,TOR,OT
20231011CHI@BOS,CHI,BOS,2023-10-11,BOS,X
20231011WPG@CGY,WPG,CGY,2023-10-11,CGY,X
20231011COL@LA,COL,LA,2023-10-11,COL,X
20231011EDM@VAN,EDM,VAN,2023-10-11,VAN,X
20231012NYR@BUF,NYR,BUF,2023-10-12,NYR,X
20231012PHI@CLB,PHI,CLB,2023-10-12,PHI,X
20231012DET@NJ,DET,NJ,2023-10-12,NJ,X
20231012STL@DAL,STL,DAL,2023-10-12,DAL,OT
20231012FLA@MIN,FLA,MIN,2023-10-12,MIN,X
20231012SEA@NSH,SEA,NSH,2023-10-12,NSH,X
20231012LV@SJ,LV,SJ,2023-10-12,LV,X
20231013ARI@NJ,ARI,NJ,2023-10-13,ARI,OT
20231013PIT@WAS,PIT,WAS,2023-10-13,PIT,X
20231014PHI@OTT,PHI,OTT,2023-10-14,OTT,X
20231014FLA@WPG,FLA,WPG,2023-10-14,WPG,X
20231014NSH@BOS,NSH,BOS,2023-10-14,BOS,X
20231014NYR@CLB,NYR,CLB,2023-10-14,CLB,X
20231014TB@DET,TB,DET,2023-10-14,DET,X
20231014CHI@MON,CHI,MON,2023-10-14,MON,X
20231014CGY@PIT,CGY,PIT,2023-10-14,PIT,X
20231014MIN@TOR,MIN,TOR,2023-10-14,TOR,X
20231014BUF@NYI,BUF,NYI,2023-10-14,NYI,X
20231014SEA@STL,SEA,STL,2023-10-14,STL,OT
20231014VAN@EDM,VAN,EDM,2023-10-14,VAN,X
20231014COL@SJ,COL,SJ,2023-10-14,COL,OT
20231014ANA@LV,ANA,LV,2023-10-14,LV,X
20231014CAR@LA,CAR,LA,2023-10-14,CAR,OT
20231015TB@OTT,TB,OTT,2023-10-15,OTT,X
20231015CAR@ANA,CAR,ANA,2023-10-15,ANA,X
20231016DET@CLB,DET,CLB,2023-10-16,DET,X
20231016FLA@NJ,FLA,NJ,2023-10-16,FLA,X
20231016ARI@NYR,ARI,NYR,2023-10-16,NYR,X
20231016CHI@TOR,CHI,TOR,2023-10-16,CHI,X
20231016CGY@WAS,CGY,WAS,2023-10-16,WAS,OT
20231017VAN@PHI,VAN,PHI,2023-10-17,PHI,X
20231017MIN@MON,MIN,MON,2023-10-17,MIN,X
20231017TB@BUF,TB,BUF,2023-10-17,BUF,X
20231017ARI@NYI,ARI,NYI,2023-10-17,NYI,X
20231017EDM@NSH,EDM,NSH,2023-10-17,EDM,X
20231017LA@WPG,LA,WPG,2023-10-17,LA,X
20231017COL@SEA,COL,SEA,2023-10-17,COL,X
20231017CAR@SJ,CAR,SJ,2023-10-17,CAR,X
20231017DAL@LV,DAL,LV,2023-10-17,LV,OT
20231018WAS@OTT,WAS,OTT,2023-10-18,OTT,X
20231018PIT@DET,PIT,DET,2023-10-18,DET,X
20231019CGY@BUF,CGY,BUF,2023-10-19,CGY,X
