goalID,teamID,period,goalTime,goalDate,scorer,gameID,assist1,assist2,seconds
2023110918:39BOS7,BOS,3RD,18:39,2023-11-09,Charlie Coyle,20231109NYI@BOS,David Pastrnak,Brad Marchand,3519
2023110909:26BOS6,BOS,3RD,09:26,2023-11-09,Charlie Coyle,20231109NYI@BOS,James van Riemsdyk,Trent Frederic,2966
2023110903:33BOS5,BOS,3RD,03:33,2023-11-09,David Pastrnak,20231109NYI@BOS,Kevin Shattenkirk,Brad Marchand,2613
2023110902:50NYI4,NYI,3RD,02:50,2023-11-09,Simon Holmstrom,20231109NYI@BOS,Jean-Gabriel Pageau,None,2570
2023110906:06BOS3,BOS,2ND,06:06,2023-11-09,Charlie Coyle,20231109NYI@BOS,Pavel Zacha,David Pastrnak,1566
2023110917:23NYI2,NYI,1ST,17:23,2023-11-09,Brock Nelson,20231109NYI@BOS,None,None,1043
2023110914:05BOS1,BOS,1ST,14:05,2023-11-09,Trent Frederic,20231109NYI@BOS,James van Riemsdyk,Charlie Coyle,845
2023110904:16MON5,MON,OVE,04:16,2023-11-09,Cole Caufield,20231109MON@DET,Mike Matheson,Nick Suzuki,3856
2023110906:06DET4,DET,3RD,06:06,2023-11-09,J.T. Compher,20231109MON@DET,None,None,2766
2023110926.0MON3,MON,3RD,00:26,2023-11-09,Nick Suzuki,20231109MON@DET,Mike Matheson,Sean Monahan,2426
2023110916:44DET2,DET,2ND,16:44,2023-11-09,Christian Fischer,20231109MON@DET,None,None,2204
2023110907:02MON1,MON,1ST,07:02,2023-11-09,Mike Matheson,20231109MON@DET,Alex Newhook,None,422
2023110913:28VAN7,VAN,3RD,13:28,2023-11-09,Elias Pettersson,20231109VAN@OTT,Quinn Hughes,J.T. Miller,3208
2023110909:23VAN6,VAN,3RD,09:23,2023-11-09,Ilya Mikheyev,20231109VAN@OTT,None,None,2963
2023110918:08VAN5,VAN,2ND,18:08,2023-11-09,J.T. Miller,20231109VAN@OTT,Phillip Di Giuseppe,Ian Cole,2288
2023110910:58OTT4,OTT,2ND,10:58,2023-11-09,Artem Zub,20231109VAN@OTT,Parker Kelly,Matthew Highmore,1858
2023110918:15OTT3,OTT,1ST,18:15,2023-11-09,Drake Batherson,20231109VAN@OTT,None,None,1095
2023110903:00VAN2,VAN,1ST,03:00,2023-11-09,Ilya Mikheyev,20231109VAN@OTT,Elias Pettersson,Andrei Kuzmenko,180
2023110915.0VAN1,VAN,1ST,00:15,2023-11-09,Brock Boeser,20231109VAN@OTT,Phillip Di Giuseppe,Filip Hronek,15
2023110918:39NYR5,NYR,3RD,18:39,2023-11-09,Artemi Panarin,20231109MIN@NYR,Vincent Trocheck,Jacob Trouba,3519
2023110914:39NYR4,NYR,3RD,14:39,2023-11-09,Blake Wheeler,20231109MIN@NYR,Will Cuylle,Alexis Lafreniere,3279
2023110901:41NYR3,NYR,3RD,01:41,2023-11-09,Alexis Lafreniere,20231109MIN@NYR,Artemi Panarin,Vincent Trocheck,2501
2023110912:33MIN2,MIN,2ND,12:33,2023-11-09,Brandon Duhaime,20231109MIN@NYR,Brock Faber,Ryan Hartman,1953
2023110903:56NYR1,NYR,1ST,03:56,2023-11-09,Vincent Trocheck,20231109MIN@NYR,Alexis Lafreniere,Erik Gustafsson,236
2023110917:50TB8,TB,3RD,17:50,2023-11-09,Steven Stamkos,20231109CHI@TB,Anthony Cirelli,Brayden Point,3470
2023110902:12CHI7,CHI,2ND,02:12,2023-11-09,Corey Perry,20231109CHI@TB,Connor Bedard,Nick Foligno,1332
2023110919:52CHI6,CHI,1ST,19:52,2023-11-09,Connor Bedard,20231109CHI@TB,Nick Foligno,Philipp Kurashev,1192
2023110917:38CHI5,CHI,1ST,17:38,2023-11-09,Tyler Johnson,20231109CHI@TB,Connor Bedard,Nick Foligno,1058
2023110916:43CHI4,CHI,1ST,16:43,2023-11-09,Kevin Korchinski,20231109CHI@TB,Ryan Donato,MacKenzie Entwistle,1003
2023110912:31TB3,TB,1ST,12:31,2023-11-09,Nikita Kucherov,20231109CHI@TB,Tanner Jeannot,Victor Hedman,751
2023110904:42CHI2,CHI,1ST,04:42,2023-11-09,Connor Bedard,20231109CHI@TB,Philipp Kurashev,None,282
2023110903:20TB1,TB,1ST,03:20,2023-11-09,Anthony Cirelli,20231109CHI@TB,Brandon Hagel,Mikhail Sergachev,200
2023110917:04DAL7,DAL,3RD,17:04,2023-11-09,Jason Robertson,20231109DAL@CLB,Joe Pavelski,None,3424
2023110903:47DAL6,DAL,3RD,03:47,2023-11-09,Tyler Seguin,20231109DAL@CLB,Nils Lundkvist,Matt Duchene,2627
2023110916:34DAL5,DAL,2ND,16:34,2023-11-09,Matt Duchene,20231109DAL@CLB,Nils Lundkvist,None,2194
2023110910:20DAL4,DAL,2ND,10:20,2023-11-09,Craig Smith,20231109DAL@CLB,Radek Faksa,Esa Lindell,1820
2023110909:29DAL3,DAL,1ST,09:29,2023-11-09,Mason Marchment,20231109DAL@CLB,Matt Duchene,Tyler Seguin,569
2023110908:43CLB2,CLB,1ST,08:43,2023-11-09,Kirill Marchenko,20231109DAL@CLB,Adam Fantilli,Dmitri Voronkov,523
2023110901:08CLB1,CLB,1ST,01:08,2023-11-09,Boone Jenner,20231109DAL@CLB,Johnny Gaudreau,Jack Roslovic,68
2023110906:00STL3,STL,2ND,06:00,2023-11-09,Robert Thomas,20231109ARI@STL,Pavel Buchnevich,Torey Krug,1560
2023110915:44ARI2,ARI,1ST,15:44,2023-11-09,Lawson Crouse,20231109ARI@STL,Clayton Keller,Nick Schmaltz,944
2023110902:16STL1,STL,1ST,02:16,2023-11-09,Oskar Sundqvist,20231109ARI@STL,Sammy Blais,Jakub Vrana,136
2023110916:44WPG9,WPG,3RD,16:44,2023-11-09,Kyle Connor,20231109NSH@WPG,Alex Iafallo,Mark Scheifele,3404
2023110916:16NSH8,NSH,3RD,16:16,2023-11-09,Philip Tomasino,20231109NSH@WPG,Tyson Barrie,Marc Del Gaizo,3376
2023110912:51WPG7,WPG,3RD,12:51,2023-11-09,Brenden Dillon,20231109NSH@WPG,Dylan DeMelo,Morgan Barron,3171
2023110912:05NSH6,NSH,2ND,12:05,2023-11-09,Filip Forsberg,20231109NSH@WPG,Tyson Barrie,None,1925
