"goalID","scorer","period","teamName","goalDate","gameID"
"2023101002:25TB4",Nick Paul,"3RD",Tampa Bay Lightning,2023-10-10,"20231010NSH@TB"
"2023101003:07TB5",Brandon Hagel,"3RD",Tampa Bay Lightning,2023-10-10,"20231010NSH@TB"
"2023101007:04PIT1",Bryan Rust,"1ST",Pittsburgh Penguins,2023-10-10,"20231010CHI@PIT"
"2023101008:19SEA4",Jared McCann,"2ND",Seattle Kraken,2023-10-10,"20231010SEA@VGK"
"2023101008:48NSH6",Tommy Novak,"3RD",Nashville Predators,2023-10-10,"20231010NSH@TB"
"2023101009:48TB1",Nikita Kucherov,"1ST",Tampa Bay Lightning,2023-10-10,"20231010NSH@TB"
"2023101010:05CHI4",Cole Guttman,"3RD",Chicago Blackhawks,2023-10-10,"20231010CHI@PIT"
"2023101010:52TB7",Nick Paul,"3RD",Tampa Bay Lightning,2023-10-10,"20231010NSH@TB"
"2023101011.0NSH3",Juuso Parssinen,"3RD",Nashville Predators,2023-10-10,"20231010NSH@TB"
"2023101011:56PIT2",Sidney Crosby,"2ND",Pittsburgh Penguins,2023-10-10,"20231010CHI@PIT"
"2023101015:29CHI5",Jason Dickinson,"3RD",Chicago Blackhawks,2023-10-10,"20231010CHI@PIT"
"2023101015:37CHI3",Ryan Donato,"2ND",Chicago Blackhawks,2023-10-10,"20231010CHI@PIT"
"2023101016:15NSH2",Ryan O'Reilly,"2ND",Nashville Predators,2023-10-10,"20231010NSH@TB"
"2023101018:33CHI6",Nick Foligno,"3RD",Chicago Blackhawks,2023-10-10,"20231010CHI@PIT"
"2023101019:58TB8",Nikita Kucherov,"3RD",Tampa Bay Lightning,2023-10-10,"20231010NSH@TB"
"2023101101:10MON2",Alex Newhook,"2ND",Montreal Canadiens,2023-10-11,"20231011MON@TOR"
"2023101102:54COL2",Cale Makar,"2ND",Colorado Avalanche,2023-10-11,"20231011COL@LA"
"2023101102:55CAR2",Michael Bunting,"2ND",Carolina Hurricanes,2023-10-11,"20231011OTT@CAR"
"2023101103:01MON1",Jake Evans,"1ST",Montreal Canadiens,2023-10-11,"20231011MON@TOR"
"2023101103:14OTT1",Mathieu Joseph,"1ST",Ottawa Senators,2023-10-11,"20231011OTT@CAR"
"2023101103:47COL3",Mikko Rantanen,"2ND",Colorado Avalanche,2023-10-11,"20231011COL@LA"
"2023101104:03VAN3",Brock Boeser,"2ND",Vancouver Canucks,2023-10-11,"20231011EDM@VAN"
"2023101104:25MON6",Cole Caufield,"3RD",Montreal Canadiens,2023-10-11,"20231011MON@TOR"
"2023101104:59COL6",Mikko Rantanen,"3RD",Colorado Avalanche,2023-10-11,"20231011COL@LA"
"2023101105:00TOR11",Mitchell Marner,SHO,Toronto Maple Leafs,2023-10-11,"20231011MON@TOR"
"2023101105:14OTT5",Parker Kelly,"3RD",Ottawa Senators,2023-10-11,"20231011OTT@CAR"
"2023101105:37CHI1",Connor Bedard,"1ST",Chicago Blackhawks,2023-10-11,"20231011CHI@BOS"
"2023101105:43VAN7",Brock Boeser,"3RD",Vancouver Canucks,2023-10-11,"20231011EDM@VAN"
"2023101105:47MON7",Alex Newhook,"3RD",Montreal Canadiens,2023-10-11,"20231011MON@TOR"
"2023101105:49OTT6",Tim Stutzle,"3RD",Ottawa Senators,2023-10-11,"20231011OTT@CAR"
"2023101106:18LA4",Carl Grundstrom,"2ND",Los Angeles Kings,2023-10-11,"20231011COL@LA"
"2023101106:56VAN8",J.T. Miller,"3RD",Vancouver Canucks,2023-10-11,"20231011EDM@VAN"
"2023101107:25COL1",Nathan MacKinnon,"1ST",Colorado Avalanche,2023-10-11,"20231011COL@LA"
"2023101107:30VAN4",Brock Boeser,"2ND",Vancouver Canucks,2023-10-11,"20231011EDM@VAN"
"2023101107:46TOR3",Noah Gregor,"2ND",Toronto Maple Leafs,2023-10-11,"20231011MON@TOR"
"2023101107:51CAR7",Brady Skjei,"3RD",Carolina Hurricanes,2023-10-11,"20231011OTT@CAR"
"2023101108:06VAN1",Conor Garland,"1ST",Vancouver Canucks,2023-10-11,"20231011EDM@VAN"
"2023101108:20EDM5",Leon Draisaitl,"2ND",Edmonton Oilers,2023-10-11,"20231011EDM@VAN"
"2023101111:05CAR8",Jaccob Slavin,"3RD",Carolina Hurricanes,2023-10-11,"20231011OTT@CAR"
"2023101111:08VAN6",Elias Pettersson,"2ND",Vancouver Canucks,2023-10-11,"20231011EDM@VAN"
"2023101111:19WPG4",Alex Iafallo,"2ND",Winnipeg Jets,2023-10-11,"20231011WPG@CGY"
"2023101111:22BOS2",Trent Frederic,"1ST",Boston Bruins,2023-10-11,"20231011CHI@BOS"
"2023101111:27VAN2",Brock Boeser,"1ST",Vancouver Canucks,2023-10-11,"20231011EDM@VAN"
"2023101111:55MON8",Jesse Ylonen,"3RD",Montreal Canadiens,2023-10-11,"20231011MON@TOR"
"2023101112:29CGY1",Andrew Mangiapane,"1ST",Calgary Flames,2023-10-11,"20231011WPG@CGY"
"2023101113:09BOS3",David Pastrnak,"2ND",Boston Bruins,2023-10-11,"20231011CHI@BOS"
"2023101113:49CGY5",Rasmus Andersson,"2ND",Calgary Flames,2023-10-11,"20231011WPG@CGY"
"2023101114:18WPG6",Mark Scheifele,"3RD",Winnipeg Jets,2023-10-11,"20231011WPG@CGY"
"2023101114:48VAN9",Dakota Joshua,"3RD",Vancouver Canucks,2023-10-11,"20231011EDM@VAN"
"2023101114:48WPG2",Kyle Connor,"1ST",Winnipeg Jets,2023-10-11,"20231011WPG@CGY"
"2023101114:51TOR4",Auston Matthews,"2ND",Toronto Maple Leafs,2023-10-11,"20231011MON@TOR"
"2023101115:28TOR9",Auston Matthews,"3RD",Toronto Maple Leafs,2023-10-11,"20231011MON@TOR"
"2023101116:08COL7",Miles Wood,"3RD",Colorado Avalanche,2023-10-11,"20231011COL@LA"
"2023101117:50CGY3",MacKenzie Weegar,"1ST",Calgary Flames,2023-10-11,"20231011WPG@CGY"
"2023101117:57CAR3",Teuvo Teravainen,"2ND",Carolina Hurricanes,2023-10-11,"20231011OTT@CAR"
"2023101118:28CGY7",Elias Lindholm,"3RD",Calgary Flames,2023-10-11,"20231011WPG@CGY"
"2023101118:53TOR10",Auston Matthews,"3RD",Toronto Maple Leafs,2023-10-11,"20231011MON@TOR"
"2023101119:04BOS4",David Pastrnak,"3RD",Boston Bruins,2023-10-11,"20231011CHI@BOS"
"2023101119:15TOR5",William Nylander,"2ND",Toronto Maple Leafs,2023-10-11,"20231011MON@TOR"
"2023101119:53CGY8",Andrew Mangiapane,"3RD",Calgary Flames,2023-10-11,"20231011WPG@CGY"
"2023101119:55LA5",Quinton Byfield,"2ND",Los Angeles Kings,2023-10-11,"20231011COL@LA"
"2023101120.0CAR4",Jordan Staal,"3RD",Carolina Hurricanes,2023-10-11,"20231011OTT@CAR"
"2023101202:37STL2",Tyler Tucker,"2ND",St. Louis Blues,2023-10-12,"20231012STL@DAL"
"2023101203:33PHI1",Joel Farabee,"1ST",Philadelphia Flyers,2023-10-12,"20231012PHI@CLB"
"2023101203:47NYR1",Alexis Lafreniere,"1ST",New York Rangers,2023-10-12,"20231012NYR@BUF"
"2023101205:00DAL3",Jason Robertson,SHO,Dallas Stars,2023-10-12,"20231012STL@DAL"
"2023101205:00DAL5",Matt Duchene,SHO,Dallas Stars,2023-10-12,"20231012STL@DAL"
"2023101205:00STL4",Brayden Schenn,SHO,St. Louis Blues,2023-10-12,"20231012STL@DAL"
"2023101207:54MIN1",Brock Faber,"1ST",Minnesota Wild,2023-10-12,"20231012FLA@MIN"
"2023101208:24CLB2",Jake Bean,"1ST",Columbus Blue Jackets,2023-10-12,"20231012PHI@CLB"
"2023101210:03NSH2",Gustav Nyquist,"3RD",Nashville Predators,2023-10-12,"20231012SEA@NSH"
"2023101210:24NSH1",Colton Sissons,"2ND",Nashville Predators,2023-10-12,"20231012SEA@NSH"
"2023101210:43DET4",Alex DeBrincat,"3RD",Detroit Red Wings,2023-10-12,"20231012DET@NJ"
"2023101211:34NYR5",Chris Kreider,"3RD",New York Rangers,2023-10-12,"20231012NYR@BUF"
"2023101212:14DET1",Daniel Sprong,"2ND",Detroit Red Wings,2023-10-12,"20231012DET@NJ"
"2023101212:22NYR2",Chris Kreider,"1ST",New York Rangers,2023-10-12,"20231012NYR@BUF"
