playerID,firstName,lastName,number,position,shot,height,weight,dob,birhplace,teamID
JBeec19,John,Beecher,19,C,—,6-3,210,4/5/2001,"Elmira, NY",BOS
PBrow38,Patrick,Brown,38,C,R,6-1,210,5/29/1992,"Bloomfield Hills, MI",BOS
CCoyl13,Charlie,Coyle,13,C,R,6-3,214,3/2/1992,"East Weymouth, MA",BOS
TFred11,Trent,Frederic,11,C,R,6-3,210,2/11/1998,"St. Louis, MO",BOS
MGeek39,Morgan,Geekie,39,C,R,6-3,192,7/20/1998,"Strathclair, MB",BOS
JLauk94,Jakub,Lauko,94,C,R,6-0,169,3/28/2000,"Prague, Czech Republic",BOS
JMegn7,Jayson,Megna,7,C,R,6-1,195,2/1/1990,"Fort Lauderdale, FL",BOS
MPoit51,Matthew,Poitras,51,C,—,5-11,180,3/10/2004,"Ajax, CA",BOS
OStee62,Oskar,Steen,62,C,R,5-9,199,3/9/1998,"Karlstad, Sweden",BOS
PZach18,Pavel,Zacha,18,C,R,6-3,210,4/6/1997,"Brno, Czech Republic",BOS
JDeBr74,Jake,DeBrusk,74,LW,R,6-0,196,10/17/1996,"Edmonton, AB",BOS
DHein43,Danton,Heinen,43,LW,R,6-1,188,7/5/1995,"Langley, BC",BOS
MLuci17,Milan,Lucic,17,LW,R,6-3,231,6/7/1988,"Vancouver, BC",BOS
BMarc63,Brad,Marchand,63,LW,R,5-9,181,5/11/1988,"Halifax, NS",BOS
DPast88,David,Pastrnak,88,RW,R,6-0,189,5/25/1996,"Havirov, Czech Republic",BOS
ARich90,Anthony,Richard,90,LW,R,5-10,176,12/20/1996,"Trois-Rivieres, PQ",BOS
Jvan21,James,van,21,LW,R,6-3,217,5/4/1989,"Middletown, NJ",BOS
BCarl25,Brandon,Carlo,25,D,R,6-6,217,11/26/1996,"Colorado Springs, CO",BOS
DForb28,Derek,Forbort,28,D,R,6-4,219,3/4/1992,"Duluth, MN",BOS
MGrze48,Matt,Grzelcyk,48,D,R,5-9,178,1/5/1994,"Charlestown, MA",BOS
HLind27,Hampus,Lindholm,27,D,R,6-4,216,1/20/1994,"Helsingborg, Sweden",BOS
CMcAv73,Charlie,McAvoy,73,D,R,6-1,206,12/21/1997,"Long Beach, NY",BOS
IMitc14,Ian,Mitchell,14,D,R,5-11,173,1/18/1999,"St. Albert, AB",BOS
KShat12,Kevin,Shattenkirk,12,D,R,6-0,212,1/29/1989,"New Rochelle, NY",BOS
AStra86,Anton,Stralman,86,D,R,5-11,193,8/1/1986,"Tibro, Sweden",BOS
PWoth38,Parker,Wotherspoon,38,D,R,6-2,187,8/24/1997,"Surrey, BC",BOS
BBuss70,Brandon,Bussi,70,G,—,6-4,213,6/25/1998,"Sound Beach, NY",BOS
KKeys85,Kyle,Keyser,85,G,R,6-2,178,3/8/1999,"Coral Springs, FL",BOS
JSway1,Jeremy,Swayman,1,G,R,6-3,195,11/24/1998,"Anchorage, AK",BOS
LUllm35,Linus,Ullmark,35,G,R,6-4,208,7/31/1993,"Lugnvik, Sweden",BOS
DCoze24,Dylan,Cozens,24,C,R,6-3,189,2/9/2001,"Whitehorse, YT",BUF
TJost17,Tyson,Jost,17,C,R,5-11,187,3/14/1998,"St. Albert, AB",BUF
PKreb19,Peyton,Krebs,19,C,R,5-11,180,1/26/2001,"Calgary, AB",BUF
CMitt37,Casey,Mittelstadt,37,C,R,6-1,195,11/22/1998,"Eden Prairie, MN",BUF
JRich—,Justin,Richards,—,C,R,5-11,190,3/17/1998,"Orlando, FL",BUF
TThom72,Tage,Thompson,72,C,R,6-7,218,10/30/1997,"Phoenix, AZ",BUF
ZBens9,Zach,Benson,9,LW,—,5-10,170,5/12/2005,"Chilliwack, CA",BUF
ZGirg28,Zemgus,Girgensons,28,LW,R,6-2,213,1/5/1994,"Riga, Latvia",BUF
JGree12,Jordan,Greenway,12,LW,R,6-6,231,2/16/1997,"Canton, NY",BUF
KOkpo21,Kyle,Okposo,21,RW,R,6-0,218,4/16/1988,"St. Paul, MN",BUF
VOlof71,Victor,Olofsson,71,LW,R,5-11,182,7/18/1995,"Ornskoldsvik, Sweden",BUF
JPete77,John-Jason,Peterka,77,RW,—,5-11,192,1/14/2002,"Munich, Germany",BUF
LRous13,Lukas,Rousek,13,RW,R,5-11,171,4/20/1999,"Ostrov nad Ohri, Czech Republic",BUF
JSkin53,Jeff,Skinner,53,LW,R,5-11,197,5/16/1992,"Toronto, ON",BUF
ATuch89,Alex,Tuch,89,RW,R,6-4,220,5/10/1996,"Syracuse, NY",BUF
JBrys78,Jacob,Bryson,78,D,R,5-9,175,11/18/1997,"London, ON",BUF
KClag38,Kale,Clague,38,D,R,6-0,177,6/5/1998,"Regina, SK",BUF
CClif75,Connor,Clifton,75,D,R,5-11,191,4/28/1995,"Long Branch, NJ",BUF
RDahl26,Rasmus,Dahlin,26,D,R,6-3,207,4/13/2000,"Lidkoping, Sweden",BUF
JDavi4,Jeremy,Davies,4,D,R,5-11,181,12/4/1996,"St-Anne-de-Bellevue, PQ",BUF
EJohn6,Erik,Johnson,6,D,R,6-4,225,3/21/1988,"Bloomington, MN",BUF
HJoki10,Henri,Jokiharju,10,D,R,6-0,200,6/17/1999,"Oulu, Finland",BUF
OPowe25,Owen,Power,25,D,—,6-6,213,11/22/2002,"Mississauga, CA",BUF
MSamu23,Mattias,Samuelsson,23,D,R,6-4,227,3/14/2000,"Philadelphia, PA",BUF
EComr31,Eric,Comrie,31,G,R,6-1,175,7/6/1995,"Edmonton, AB",BUF
DCool1,Devin,Cooley,1,G,—,6-5,192,5/25/1997,"Los Gatos, CA",BUF
DLevi27,Devon,Levi,27,G,—,6-0,184,12/27/2001,"Dollard-des-Ormeaux, CA",BUF
ULuuk1,Ukko-Pekka,Luukkonen,1,G,R,6-4,220,3/9/1999,"Espoo, Finland",BUF
DToka—,Dustin,Tokarski,—,G,R,6-0,198,9/16/1989,"Watson, SK",BUF
ACopp18,Andrew,Copp,18,C,R,6-1,206,7/8/1994,"Ann Arbor, MI",DET
RFabb14,Robby,Fabbri,14,C,R,5-11,183,1/22/1996,"Mississauga, ON",DET
KKost—,Klim,Kostin,—,C,R,6-3,215,5/5/1999,"Penza, Russia",DET
DLark71,Dylan,Larkin,71,C,R,6-1,198,7/30/1996,"Waterford, MI",DET
DO'Re56,Danny,O'Regan,56,C,R,5-10,180,1/30/1994,"Berlin, Germany",DET
MRasm27,Michael,Rasmussen,27,C,R,6-6,210,4/17/1999,"Vancouver, BC",DET
NStev—,Nolan,Stevens,—,C,R,6-3,183,7/22/1996,"Brantford, ON",DET
JVele90,Joseph,Veleno,90,C,R,6-1,206,1/13/2000,"Montreal, PQ",DET
ZAsto—,Zach,Aston-Reese,—,RW,R,6-0,204,8/10/1994,"Staten Island, NY",DET
JBerg52,Jonatan,Berggren,52,RW,R,5-11,195,7/16/2000,"Uppsala, Sweden",DET
JComp—,J.T.,Compher,—,LW,R,6-0,190,4/8/1995,"Northbrook, IL",DET
ADeBr12,Alex,DeBrincat,12,RW,R,5-7,165,12/18/1997,"Farmington Hills, MI",DET
CFisc—,Christian,Fischer,—,RW,R,6-2,212,4/15/1997,"Chicago, IL",DET
TGett—,Tim,Gettinger,—,LW,—,6-6,218,4/14/1998,"Cleveland, OH",DET
DPerr57,David,Perron,57,LW,R,6-1,202,5/28/1988,"Sherbrooke, PQ",DET
LRaym23,Lucas,Raymond,23,LW,R,5-11,182,3/28/2002,"Goteborg, Sweden",DET
DSpro91,Daniel,Sprong,91,RW,R,6-0,193,3/17/1997,"Amsterdam, Netherlands",DET
BChia8,Ben,Chiarot,8,D,R,6-3,234,5/9/1991,"Hamilton, ON",DET
SGost41,Shayne,Gostisbehere,41,D,R,5-11,180,4/20/1993,"Pembroke Pines, FL",DET
JHoll3,Justin,Holl,3,D,R,6-4,194,1/30/1992,"Tonka Bay, MN",DET
